StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q54,pos1,pos2,pos3,pos4,pos5,inc1,inc2,inc3,inc4,neut1,neut2,neut3,neut4,neut5,Data Sharing Fundame,datashare_opinion,datashare_behavior,datashare_b_percent_1,datashare_b_first_1,datashare_b_whynot,datashare_b_whynot_17_TEXT,datashare_b_others_1,datasure_o_others_1,datasure_o_others_2,datasure_o_others_3,datasure_o_others_4,datasure_o_others_5,Preregistration Fund,prereg_opinion,prereg_behavior,prereg_b_percent_1,prereg_p_first_1,prereg_b_whynot,prereg_b_whynot_14_TEXT,prereg_b_hesitate,prereg_b_hesitate_14_TEXT,prereg_b_future,prereg_b_future_14_TEXT,prereg_b_others_1,prereg_o_others_1,prereg_o_others_2,prereg_o_others_3,prereg_o_others_4,prereg_o_others_5,Q4,OA_opinion,OA_behavior,OA_b_percent_1,OA_b_when_1,OA_b_whynot,OA_b_whynot_12_TEXT,OA_b_hesitate,OA_b_hesitate_12_TEXT,OA_b_future,OA_b_future_12_TEXT,OA_b_others_1,OA_o_others_1,OA_o_others_2,OA_o_others_3,OA_o_others_4,OA_o_others_5,Q14,replication_opinion,replication_behavior,replication_b_percen_1,replication_b_when_1,replication_b_whynot,replication_b_whynot_13_TEXT,rep_b_hesitate,rep_b_hesitate_13_TEXT,rep_b_future,rep_b_future_13_TEXT,rep_b_others_1,rep_o_others_1,rep_o_others_2,rep_o_others_3,rep_o_others_4,rep_o_others_5,years,gender,gender_3_TEXT,identifyResearch,identifyScience,discipline,qualquant,method,qualquantField_1,qualquantField_2,comments
12/28/25 8:17,12/28/25 9:57,IP Address,*******,25,5978,FALSE,1/11/26 9:57,R_5Uh24TZsK1ScIj9,*******,*******,*******,*******,*******,*******,email,EN,Yes,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/12/26 8:58,1/12/26 9:14,IP Address,*******,100,980,TRUE,1/12/26 9:14,R_6PG0Mgh1DWHf6GD,*******,*******,*******,*******,*******,*******,email,EN,Yes,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat disagree,,Very much in favor,Yes,51,2025,,,39,55,30,0,10,5,,Neither in favor nor against,No,,,"I didn’t perceive my field to be in favor of this,I was unfamiliar with the practice,I didn’t think it was important",,,,,,10,0,0,80,20,0,,Very much in favor,No,,,"I didn’t have sufficient resources available,Journal policy prevented it",,,,,,10,75,20,5,0,0,,In favor,No,,,"It was too time consuming,Given the nature of the research, it was not possible",,,,,,1,0,90,10,0,0,6,Man,,A moderate amount,A little,Political Science (PhD candidate),Qualitative,Mixed methods (econometrics with case studies),35,65,"To be clear, I am a graduate student. I do not yet have a PhD. I am fairly aware of Political Science practices, but less so than a professor-level survey respondent."
12/31/25 13:28,1/12/26 11:03,IP Address,*******,100,1028088,TRUE,1/12/26 11:03,R_6HZXWwIDSGkHJIH,*******,*******,*******,*******,*******,*******,email,EN,Yes,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,,Very much in favor,No,,,,,5,5,10,30,50,5,,In favor,No,,,My collaborators were opposed to doing it,,,,,,50,5,20,60,10,5,,Very much in favor,No,,,My collaborators were opposed to doing it,,,,,,10,5,25,60,5,5,,Very much in favor,No,,,,,,,,,50,5,30,50,10,5,7,Woman,,A lot,A moderate amount,Psychology (incomplete),Quantitative,mixed methods,85,15,
1/12/26 11:50,1/12/26 11:59,IP Address,*******,100,569,TRUE,1/12/26 11:59,R_52QpuwXKt5LzhQ5,*******,*******,*******,*******,*******,*******,email,EN,Yes,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,,Very much in favor,I do not have a scholarly work that used data,,,,,30,15,25,55,5,0,,In favor,No,,,It didn’t seem relevant for my work,,,,,,30,10,30,50,10,0,,Neither in favor nor against,Yes,20,2013,,,,,,,50,0,30,50,20,0,,In favor,No,,,,,,,,,15,15,35,45,5,0,23,Woman,,A lot,A lot,Psychology,Quantitative,simulation,15,85,
1/12/26 17:42,1/12/26 18:01,IP Address,*******,100,1112,TRUE,1/12/26 18:01,R_7MmoIykoQnGv9GE,*******,*******,*******,*******,*******,*******,email,EN,Yes,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,,Very much in favor,Yes,30,1995,,,50,90,5,0,5,0,,In favor,No,,,It didn’t seem relevant for my work,,,,,,50,60,30,10,0,0,,Very much in favor,Yes,20,1998,,,,,,,70,70,0,0,0,0,,Very much in favor,Yes,80,,,,Other:,"This question, like the previous ones, presuposes that scholarly work only involves data collection; however, I have conducted scholarly work (proposed new models of treatment) that draws on literature that includes preregistered studies and lots of replicated data findings; but I ended up responding based on data collection studies I have completed",,,70,95,5,0,0,0,30,Woman,,A little,A moderate amount,clinical ,Quantitative,"quality assurance, needs assessment, convenience sample treatment outcome",20,80,
1/14/26 12:44,1/14/26 12:54,IP Address,*******,100,613,TRUE,1/14/26 12:54,R_55RB8eqnmDxDbTR,*******,*******,*******,*******,*******,*******,email,EN,Yes,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,,In favor,I do not have a scholarly work that used data,,,,,50,20,20,20,20,20,,In favor,I do not have a scholarly work reporting studies,,,,,,,"I am unfamiliar with the practice,I don’t know of a suitable registry",,50,20,20,20,20,20,,In favor,I have not published a scholarly work,,,,,,,"It is too time consuming,I am unfamiliar with the practice",,60,20,30,10,30,10,,Very much in favor,I do not have a scholarly work reporting relevant research,,,,,,,,,0,30,20,30,10,10,2,Man,,A moderate amount,Not at all,Political Theory ,Qualitative,,50,50,
1/13/26 16:07,1/15/26 17:41,IP Address,*******,100,178420,TRUE,1/15/26 17:41,R_1SRMSPlu6Is343v,*******,*******,*******,*******,*******,*******,email,EN,Yes,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Strongly disagree,,Very much in favor,Yes,80,2022,,,70,40,20,20,10,10,,Neither in favor nor against,No,,,"It was too time consuming,I didn’t want others to use my plans for their own research,I was nervous that someone would discover a mistake,It didn’t seem relevant for my work,I was worried it would reduce publishability of my findings,I won’t be rewarded for it",,,,,,30,15,10,40,20,15,,In favor,Yes,33,2023,,,"I didn’t perceive my field to be in favor of this,I didn’t have sufficient resources available,Other:",Open Access fee is expensive,,,50,10,10,60,10,10,,In favor,No,,,"I didn’t perceive my field to be in favor of this,I didn’t have sufficient resources available,Given the nature of the research, it was not possible",,,,,,30,10,25,30,25,10,4.5,Woman,,A great deal,A great deal,Communication and Social Neuroscience (the latter typically falls under Psychology),Quantitative,"experimental design, portable neuroimaging, naturalistic conversations, dynamic systems modeling",10,90,
1/17/26 17:23,1/17/26 17:37,IP Address,*******,100,877,TRUE,1/17/26 17:37,R_6qHSG1gKm21xPuO,*******,*******,*******,*******,*******,*******,email,EN,Yes,Somewhat agree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,,Very much in favor,No,,,,,13,0,32,33,34,0,,Neither in favor nor against,No,,,Other:,Preregistration wasn't a process available when I publihsed.,,,,,5,0,30,40,30,0,,Very much in favor,Yes,50,2000,,,"I didn’t perceive my field to be in favor of this,Other:",There was concern about impact factors.,,,75,0,75,20,5,0,,Very much in favor,Yes,34,1992,,,,,,,20,0,49,51,0,0,37,Man,,A lot,A lot,Sociology,Quantitative,survey research,61,39,
1/5/26 9:34,1/5/26 9:35,IP Address,*******,3,48,FALSE,1/19/26 9:35,R_6OcbHHpdIrXiHnR,*******,*******,*******,*******,*******,*******,email,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/5/26 9:53,1/5/26 9:55,IP Address,*******,3,99,FALSE,1/19/26 9:55,R_1Ojih7tQInECZVe,*******,*******,*******,*******,*******,*******,email,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/5/26 9:35,1/5/26 9:57,IP Address,*******,3,1337,FALSE,1/19/26 9:57,R_5CiPxTK5DvO6ss9,*******,*******,*******,*******,*******,*******,email,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/5/26 9:59,1/5/26 10:00,IP Address,*******,3,7,FALSE,1/19/26 10:00,R_50oOW9UmHt5mqni,*******,*******,*******,*******,*******,*******,email,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/5/26 9:54,1/5/26 10:10,IP Address,*******,38,927,FALSE,1/19/26 10:10,R_1BSfbsgGtgyZGMt,*******,*******,*******,*******,*******,*******,email,EN,Yes,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,,In favor,Yes,90,2022,,,70,50,20,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/5/26 10:23,1/5/26 10:29,IP Address,*******,46,353,FALSE,1/19/26 10:29,R_199gWpwrjakCc5r,*******,*******,*******,*******,*******,*******,email,EN,Yes,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Very much in favor,Yes,19,2025,,,I didn’t have sufficient resources available,,,,29,48,23,25,16,0,,Very much in favor,No,,,,,,,,,,,,,,,,,,,,,,,,,
1/5/26 10:41,1/5/26 10:44,IP Address,*******,3,178,FALSE,1/19/26 10:44,R_5EcVvltVDQGXNoZ,*******,*******,*******,*******,*******,*******,email,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/5/26 11:08,1/5/26 11:08,IP Address,*******,3,7,FALSE,1/19/26 11:08,R_5V8JV9AurqEGzhT,*******,*******,*******,*******,*******,*******,email,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/5/26 11:46,1/5/26 11:48,IP Address,*******,3,75,FALSE,1/19/26 11:48,R_6N6qpENTycBPtol,*******,*******,*******,*******,*******,*******,email,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/5/26 11:44,1/5/26 11:51,IP Address,*******,38,457,FALSE,1/19/26 11:51,R_3as2gJPmXBodH6V,*******,*******,*******,*******,*******,*******,email,EN,Yes,Strongly disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly disagree,Strongly disagree,,In favor,No,,,The data were proprietary or access was restricted,,25,10,10,10,35,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/5/26 12:20,1/5/26 12:30,IP Address,*******,59,616,FALSE,1/19/26 12:30,R_3gnX6IyIubAZFqF,*******,*******,*******,*******,*******,*******,email,EN,Yes,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly agree,Somewhat disagree,Strongly disagree,,Very much in favor,Yes,100,2024,,,60,30,40,20,10,0,,Neither in favor nor against,No,,,"It was too time consuming,I didn’t want others to use my plans for their own research,I was nervous that someone would discover a mistake,I won’t be rewarded for it",,,,,,40,10,20,35,30,5,,,,,,,,,,,,,,,,,,,Very much in favor,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
1/5/26 12:32,1/5/26 12:32,IP Address,*******,3,40,FALSE,1/19/26 12:32,R_7fcmwJR8WcRBlcJ,*******,*******,*******,*******,*******,*******,email,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/5/26 12:25,1/5/26 12:45,IP Address,*******,86,1182,FALSE,1/19/26 12:46,R_3O1YsHrMmXzPHdO,*******,*******,*******,*******,*******,*******,email,EN,Yes,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,,Neither in favor nor against,No,,,"I didn't want others to use the data for their own research,The data were too difficult to anonymize (human subjects),I didn't want to lose control over how the data were used,Other:",These are subtle matters Your questions throughout are unsubtle,20,0,0,0,0,0,,Against,Yes,0,,,,Other:,"Again, the formulation of choices does not allow for the complexity of the matters under discussion.  EG no clarifiation of pre- and post research.  No allowance for don't knows. No defintiions provided.",,,,0,0,0,0,0,,Against,No,,,"I didn’t perceive my field to be in favor of this,I didn’t think it was important,Given the nature of the research, it was not possible,I won’t be rewarded for it,Journal policy prevented it",,,,,,5,0,0,0,0,0,,In favor,No,,,"Given the nature of the research, it was not possible,It didn’t seem relevant for my work,I couldn’t access the necessary data, materials, or code",,,,,,30,11,30,32,20,21,,,,,,,,,,,
1/5/26 12:27,1/5/26 12:48,IP Address,*******,86,1280,FALSE,1/19/26 12:51,R_3PZuljrtxI5Q7ap,*******,*******,*******,*******,*******,*******,email,EN,Yes,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly disagree,,Very much in favor,I do not have a scholarly work that used data,,,,,,50,20,15,10,5,,Neither in favor nor against,I do not have a scholarly work reporting studies,,,,,,,"It is too time consuming,It is too difficult,I don’t want others to use my plans for their own research,I am nervous that someone would discover a mistake,I don’t know of a suitable registry,My collaborators are opposed to doing it",,10,5,5,20,20,50,,Very much in favor,I have not published a scholarly work,,,,,,,"Given the nature of the research, it is not possible,My collaborators are opposed to doing it,Journal policy prevents it",,30,50,20,10,5,15,,Very much in favor,I do not have a scholarly work reporting relevant research,,,,,,,"I don’t perceive my field to be in favor of this,I am unfamiliar with the practice,Given the nature of the research, it won’t be possible,I won’t be rewarded for it,I won’t be able to access the necessary data, materials, or code",,41,40,20,20,15,5,,,,,,,,,,,
1/4/26 17:01,1/5/26 13:38,IP Address,*******,3,74219,FALSE,1/19/26 13:38,R_67t3hqZawHJgRs5,*******,*******,*******,*******,*******,*******,email,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/5/26 13:29,1/5/26 13:50,IP Address,*******,46,1259,FALSE,1/19/26 13:52,R_1FgBYY5KwJ9v9Lj,*******,*******,*******,*******,*******,*******,email,EN,Yes,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,,,,,,,,,,,,,,,Very much in favor,I do not have a scholarly work reporting studies,,,,,,,"It is too time consuming,I don’t want others to use my plans for their own research,I don’t know of a suitable registry,It doesn’t seem relevant for my work",,25,8,26,18,26,12,,,,,,,,,,,,,,,,,,,In favor,I do not have a scholarly work reporting relevant research,,,,,,,,,,,,,,,,,,,,,,,,,
1/5/26 13:40,1/5/26 13:56,IP Address,*******,86,993,FALSE,1/19/26 13:56,R_3AgY7feFy9pKfm1,*******,*******,*******,*******,*******,*******,email,EN,Yes,,,,,,Somewhat disagree,,,,,,,,,,,,,,,,,77,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
1/5/26 14:11,1/5/26 14:13,IP Address,*******,30,147,FALSE,1/19/26 14:14,R_32aJWqOakpsKE0K,*******,*******,*******,*******,*******,*******,email,EN,Yes,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,,,,,,,,,,,,,,,Against,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/5/26 15:11,1/5/26 15:11,IP Address,*******,3,25,FALSE,1/19/26 15:11,R_1OODc3uJe3pelfe,*******,*******,*******,*******,*******,*******,email,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/5/26 10:23,1/5/26 15:20,IP Address,*******,86,17873,FALSE,1/19/26 15:21,R_1w9MOMhA2yHWkSd,*******,*******,*******,*******,*******,*******,email,EN,Yes,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,In favor,,,,,,,0,0,0,0,0,,No opinion,,,,,,,,,,,0,0,0,0,0,,In favor,Yes,,,,,Other:,"Cost.  In cases when it is free, it is not a hard decision.",,,,0,0,0,0,0,,In favor,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
1/5/26 14:54,1/5/26 15:40,IP Address,*******,41,2800,FALSE,1/19/26 15:41,R_1DpFFQ9cBe7UfDf,*******,*******,*******,*******,*******,*******,email,EN,Yes,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Very much in favor,No,,,"I didn’t perceive my field to be in favor of this,I won’t be rewarded for it",,,,,,5,10,20,20,20,30,,,,,,,,,,,
1/5/26 17:02,1/5/26 17:02,IP Address,*******,3,28,FALSE,1/19/26 17:02,R_133ehmkgOmDvwZj,*******,*******,*******,*******,*******,*******,email,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/5/26 17:08,1/5/26 17:10,IP Address,*******,25,130,FALSE,1/19/26 17:10,R_10SWiPEDbfJAO7O,*******,*******,*******,*******,*******,*******,email,EN,Yes,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/5/26 18:51,1/5/26 18:55,IP Address,*******,59,263,FALSE,1/19/26 18:55,R_5TTEMKSyylmpR5f,*******,*******,*******,*******,*******,*******,email,EN,Yes,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,,Very much in favor,Yes,100,2024,,,85,50,70,50,30,30,,,,,,,,,,,,,,,,,,,In favor,I have not published a scholarly work,,,,,,,I am unfamiliar with the practice,,60,60,60,85,20,20,,Neither in favor nor against,I do not have a scholarly work reporting relevant research,,,,,,,,,,,,,,,,,,,,,,,,,
1/5/26 18:58,1/5/26 19:01,IP Address,*******,30,144,FALSE,1/19/26 19:01,R_62Jn4qMJNgz0rOi,*******,*******,*******,*******,*******,*******,email,EN,Yes,Somewhat agree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat disagree,,,,,,,,,,,,,,,In favor,I do not have a scholarly work reporting studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/5/26 21:46,1/5/26 21:47,IP Address,*******,3,23,FALSE,1/19/26 21:47,R_92mrPqXf2SusgYM,*******,*******,*******,*******,*******,*******,email,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/6/26 6:26,1/6/26 6:33,IP Address,*******,30,405,FALSE,1/20/26 6:33,R_6y29TBWdGuWhyI9,*******,*******,*******,*******,*******,*******,email,EN,Yes,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly agree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,,Very much in favor,I do not have a scholarly work that used data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/6/26 9:10,1/6/26 9:13,IP Address,*******,3,121,FALSE,1/20/26 9:13,R_6QXoBEWBvLEKT6J,*******,*******,*******,*******,*******,*******,email,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/5/26 15:45,1/6/26 14:30,IP Address,*******,3,81897,FALSE,1/20/26 14:30,R_6MsS4DmVORFCW6s,*******,*******,*******,*******,*******,*******,email,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/6/26 20:25,1/6/26 20:26,IP Address,*******,3,24,FALSE,1/20/26 20:26,R_6hbbbcerpIRzRTu,*******,*******,*******,*******,*******,*******,email,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/6/26 20:12,1/6/26 20:46,IP Address,*******,75,2052,FALSE,1/20/26 20:46,R_3gFUq7HHBL6HsPX,*******,*******,*******,*******,*******,*******,email,EN,Yes,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,,In favor,Yes,40,2013,,,25,25,20,0,25,30,,Against,No,,,"It was too time consuming,I didn’t want others to use my plans for their own research,I was unfamiliar with the practice,I didn’t know of a suitable registry",,,,,,10,0,0,0,0,0,,Neither in favor nor against,No,,,"I didn’t perceive my field to be in favor of this,I didn’t have sufficient resources available",,,,,,25,25,25,15,20,15,,Very much in favor,No,,,,,,,,,,,,,,,,,,,,,,,,,
1/6/26 21:42,1/6/26 21:43,IP Address,*******,3,26,FALSE,1/20/26 21:43,R_7tbbJKuLjtckO4H,*******,*******,*******,*******,*******,*******,email,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/7/26 3:22,1/7/26 3:34,IP Address,*******,86,758,FALSE,1/21/26 3:35,R_5dBxHactY3HRUS3,*******,*******,*******,*******,*******,*******,email,EN,Yes,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,,Very much in favor,I do not have a scholarly work that used data,,,,,10,40,30,10,10,10,,Very much in favor,No,,,"It was too time consuming,It was too difficult,I didn’t want others to use my plans for their own research,I didn’t know of a suitable registry,I was worried it would reduce publishability of my findings",,,,,,10,25,25,15,20,15,,Very much in favor,No,,,"It was too time consuming,I was unfamiliar with the practice,I didn’t have sufficient resources available",,,,,,40,80,10,5,5,0,,Very much in favor,I do not have a scholarly work reporting relevant research,,,,,,,"It is too time consuming,I don’t perceive my field to be in favor of this,I won’t be rewarded for it,I won’t be able to access the necessary data, materials, or code",,40,50,30,10,5,5,,,,,,,,,,,
1/7/26 6:19,1/7/26 6:30,IP Address,*******,3,660,FALSE,1/21/26 6:30,R_43f6lOsH9I3mdLX,*******,*******,*******,*******,*******,*******,email,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/7/26 11:43,1/7/26 12:31,IP Address,*******,3,2902,FALSE,1/21/26 12:32,R_3eDem8UFAcb7rbB,*******,*******,*******,*******,*******,*******,email,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
